id;regiao;estado;sigla;vitoria_;usa_twitter_;sent_twitter_;usa_instagram_;sent_instagram_;anos_;foi_diretor_;foi_coordenador_;foi_fg_;publicacoes_twitter_;seguidores_twitter_;seguindo_twitter_;publicacoes_instagram_;seguidores_instagram_;seguindo_instagram_
1;Centro-Oeste;Distrito Federal;IF;N;N;;N;;13,10;S;S;N;;;;;;
2;Centro-Oeste;Distrito Federal;IF;S;S;0,175691598;S;0,171507281;11,57;S;N;N;142;55;138;349;1509;904
3;Centro-Oeste;Distrito Federal;IF;N;N;;N;;18,32;S;S;S;;;;;;
4;Centro-Oeste;Distrito Federal;IF;N;N;;S;0;10,25;S;S;N;;;;27;204;229
5;Centro-Oeste;Distrito Federal;IF;N;N;;N;;10,83;N;S;N;;;;;;
6;Centro-Oeste;Distrito Federal;IF;S;S;0,122222222;N;;37,66;S;N;N;27;167;639;;;
7;Centro-Oeste;Goiás;IF;S;N;;S;0,390099148;26,54;S;N;N;;;;131;1420;724
8;Centro-Oeste;Goiás;IF;N;N;;S;0,294340629;27,49;S;N;N;;;;332;1453;2366
9;Centro-Oeste;Goiás;IF;N;N;;S;0,116666667;10,73;N;N;N;;;;502;20200;4757
10;Centro-Oeste;Mato Grosso;IF;N;N;;N;;25,95;N;N;N;;;;;;
11;Centro-Oeste;Mato Grosso;IF;S;N;;S;0;26,52;S;N;N;;;;57;1463;551
12;Centro-Oeste;Mato Grosso do Sul;IF;S;N;;N;;8,81;S;N;S;;;;;;
13;Centro-Oeste;Mato Grosso do Sul;IF;N;S;0;S;0,096578947;10,16;N;N;N;0;0;39;82;1061;1036
14;Centro-Oeste;Mato Grosso do Sul;IF;N;S;0;S;0,328681006;27,49;S;N;S;0;0;28;40;541;1465
15;Nordeste;Alagoas;IF;S;S;0,436363636;S;0,191746032;26,89;S;N;N;11;2;0;64;1003;583
16;Nordeste;Alagoas;IF;N;N;;S;0;38,56;S;N;N;;;;0;130;12
17;Nordeste;Alagoas;IF;N;N;;S;0;24,29;N;N;S;;;;0;101;4
18;Nordeste;Alagoas;IF;N;N;;N;;25,44;S;N;N;;;;;;
19;Nordeste;Bahia;IF;N;S;-0,144444444;S;0;;S;N;N;6;6;58;3;221;141
20;Nordeste;Bahia;IF;N;S;0,136363636;S;0;8,69;N;N;N;15;2;15;0;149;100
21;Nordeste;Bahia;IF;S;N;;S;0,125804598;26,50;N;S;S;;;;113;1685;1976
22;Nordeste;Bahia;IF;N;N;;S;0;35,13;S;N;N;;;;0;16;8
23;Nordeste;Bahia;IF;N;N;;N;;37,15;S;N;N;;;;;;
24;Nordeste;Bahia;IF;S;N;;N;;15,52;S;N;N;;;;;;
25;Nordeste;Bahia;IF;N;S;0;S;0;29,36;S;N;S;0;1;11;0;371;33
26;Nordeste;Ceará;IF;S;N;;S;0;39,15;S;N;N;;;;1;421;68
27;Nordeste;Ceará;IF;N;N;;S;0,555555556;35,02;S;N;N;;;;10;61;1
28;Nordeste;Maranhão;IF;N;S;0,053174431;S;0,206896891;13,23;N;N;N;67;26;63;231;1830;1997
29;Nordeste;Maranhão;IF;N;N;;N;;29,87;S;N;N;;;;;;
30;Nordeste;Maranhão;IF;S;N;;N;;31,61;S;N;N;;;;;;
31;Nordeste;Maranhão;IF;N;N;;N;;29,95;N;N;N;;;;;;
32;Nordeste;Paraíba;IF;N;N;;N;;42,53;S;N;N;;;;;;
33;Nordeste;Paraíba;IF;S;S;0,176704362;N;;28,85;S;N;N;768;19;86;;;
34;Nordeste;Paraíba;IF;N;S;0,336363636;S;0;;S;N;N;27;87;45;45;102;245
35;Nordeste;Pernambuco;IF;S;N;;N;;10,67;S;N;S;;;;;;
36;Nordeste;Pernambuco;IF;N;S;0,139385178;S;0;36,88;N;N;N;30;74;29;6;266;129
37;Nordeste;Pernambuco;IF;N;S;0;S;0,23676452;27,80;S;N;N;0;19;10;43;222;515
38;Nordeste;Pernambuco;IF;S;N;;S;0,201300505;13,11;S;N;N;;;;273;2135;1264
39;Nordeste;Piauí;IF;N;S;0,180990024;N;;;N;N;N;45;2;0;;;
40;Nordeste;Piauí;IF;S;N;;N;;25,51;S;N;N;;;;;;
41;Nordeste;Piauí;IF;N;S;0,111373361;S;0,369879442;16,79;S;N;N;18;35;397;143;1226;1705
42;Nordeste;Piauí;IF;N;N;;S;0;37,58;S;N;N;;;;0;594;517
43;Nordeste;Rio Grande do Norte;IF;N;N;;S;0;36,53;S;N;N;;;;0;2;27
44;Nordeste;Rio Grande do Norte;IF;N;N;;S;0;26,47;S;N;N;;;;582;2552;2428
45;Nordeste;Rio Grande do Norte;IF;S;N;;N;;26,47;S;N;N;;;;;;
46;Nordeste;Rio Grande do Norte;IF;N;N;;N;;10,81;S;N;N;;;;;;
47;Nordeste;Sergipe;IF;N;N;;S;0;11,63;S;N;S;;;;0;226;31
48;Nordeste;Sergipe;IF;S;N;;N;;25,31;S;N;N;;;;;;
49;Nordeste;Sergipe;IF;N;S;0,080428916;N;;;N;N;N;344;154;369;;;
50;Nordeste;Sergipe;IF;N;N;;N;;27,16;S;N;N;;;;;;
51;Nordeste;Sergipe;IF;N;N;;N;;29,38;N;N;N;;;;;;
52;Norte;Acre;IF;S;S;0;S;0,21347397;10,95;N;N;S;142;67;143;1636;1704;870
53;Norte;Acre;IF;N;S;0;S;0,268377322;10,95;S;N;N;6;24;110;46;873;1259
54;Norte;Amapá;IF;N;S;0,051270053;N;;10,29;S;N;N;22;21;30;;;
55;Norte;Amapá;IF;N;S;0;S;0;43,41;S;N;N;0;0;13;0;121;36
56;Norte;Amapá;IF;N;N;;N;;10,29;N;N;N;;;;;;
57;Norte;Amapá;IF;S;N;;N;;32,92;S;N;N;;;;;;
58;Norte;Amazonas;IF;N;N;;N;;22,94;N;N;N;;;;;;
59;Norte;Amazonas;IF;N;S;0,086822099;S;0,301489899;10,86;N;N;N;132;99;310;43;918;421
60;Norte;Amazonas;IF;S;N;;N;;27,45;S;N;N;;;;;;
61;Norte;Amazonas;IF;N;N;;N;;;S;N;N;;;;;;
62;Norte;Pará;IF;S;N;;N;;27,26;S;N;S;;;;;;
63;Norte;Pará;IF;N;S;0;S;0;9,85;N;S;N;0;4;6;2;150;217
64;Norte;Pará;IF;N;N;;N;;27,26;S;N;N;;;;;;
65;Norte;Rondônia ;IF;S;S;0;S;0,087247475;15,76;S;N;N;2;5;33;5;685;77
66;Norte;Roraima;IF;N;S;0,5;S;0,389705882;18,33;N;S;N;1;47;15;44;1166;2252
67;Norte;Roraima;IF;N;N;;S;0;36,64;N;S;S;;;;0;2;1
68;Norte;Roraima;IF;S;N;;S;0,252010582;41,63;S;N;S;;;;72;631;1246
69;Norte;Tocantins;IF;S;N;;S;0,125804598;13,54;S;S;N;;;;44;1438;1172
70;Norte;Tocantins;IF;N;N;;N;;16,42;S;N;S;;;;;;
71;Sudeste;Espiríto Santo;IF;S;N;;S;;43,71;S;N;N;;;;;;
72;Sudeste;Espiríto Santo;IF;N;N;;N;;24,30;S;N;S;;;;;;
73;Sudeste;Espiríto Santo;IF;N;S;0,27082641;S;0;36,39;S;N;N;161;62;336;1;123;417
